,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic,Title_link
Doc0,0,0,0.13,0,0,0,0,0,0,0.85,9,https://stackoverflow.com/questions/45867254/how-to-extract-all-used-hash160-addresses-from-bitcoin-blockchain
Doc1,0,0,0.14,0.21,0,0.08,0.08,0.49,0,0,7,https://stackoverflow.com/questions/70548393/how-to-use-origin-value-in-substrate-pallet
Doc2,0.17,0,0,0,0.33,0.16,0.16,0,0.18,0,4,https://stackoverflow.com/questions/65160121/ethers-js-jsonrpcprovider-geth-node-in-a-docker-environment
Doc3,0,0,0,0,0,0,0.84,0,0,0.15,6,https://stackoverflow.com/questions/69952298/generate-new-deposit-address-in-binance
Doc4,0,0,0,0.05,0,0,0.67,0,0,0.24,6,https://stackoverflow.com/questions/59732286/tronweb-not-listening-events-conistently
Doc5,0,0.21,0,0,0,0.61,0,0,0.18,0,5,https://stackoverflow.com/questions/50466152/error-failed-to-check-for-transaction-receipt-web3-js1-0-0-with-node-get
Doc6,0,0,1,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/71393647/getting-an-safetransferfromstf-error-even-after-approving-spender-for-contract
Doc7,0,0,0,0,0,0,0,0.19,0.58,0.23,8,https://stackoverflow.com/questions/67688002/how-to-fetch-metamask-account-using-python-flask
Doc8,0.7,0,0,0.07,0.14,0,0.07,0.03,0,0,0,https://stackoverflow.com/questions/51366859/hyperledger-fabric-chaincode-invoke-version-for-client-version-variations
Doc9,0,0,0,0,0,0,0,0,0.22,0.77,9,https://stackoverflow.com/questions/50743095/handling-ipfs-uploading-from-react-frontend-with-encryption
Doc10,0,0,0,0.15,0.13,0.11,0,0,0,0.6,9,https://stackoverflow.com/questions/47887465/quorum-constellation-too-many-open-files
Doc11,0,0.3,0.08,0,0.3,0,0.14,0,0.17,0,1,https://stackoverflow.com/questions/47429489/how-to-broadcast-an-nbitcoin-transaction-with-multiple-txin-transaction-inputs
Doc12,0,0,0,0,0,0,0,0.99,0,0,7,https://stackoverflow.com/questions/43601316/can-i-use-bigchaindb-server-with-django-instead-of-using-sqlite
Doc13,0.02,0,0,0,0.13,0,0.38,0.46,0,0,7,https://stackoverflow.com/questions/75279327/signature-verification-failed-please-verify-account-number-and-chain-id-unauth
Doc14,0,0,0,0.28,0,0,0.42,0,0.29,0,6,https://stackoverflow.com/questions/73578284/proper-way-to-call-a-program-method-on-solana-from-client-connected-to-wallet
Doc15,0,0,0,0,0,0,0.15,0.84,0,0,7,https://stackoverflow.com/questions/73073510/btc-rbtc-conversion-programatically-using-rsk
Doc16,0,0,0,0,0.03,0,0.93,0.03,0,0,6,https://stackoverflow.com/questions/73072745/having-a-solana-program-mint-tokens-while-a-user-pays-the-fee
Doc17,0,0,1,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/72743177/gas-estimation-error-execution-reverted-originalerror-code-3-data
Doc18,0,0,0,0.09,0.37,0,0,0,0.26,0.27,4,https://stackoverflow.com/questions/72108832/error-connecting-web3js-to-react-native-application
Doc19,0,0.11,0.23,0,0,0,0.59,0.05,0,0,6,https://stackoverflow.com/questions/71926137/close-an-account-and-return-what-was-transferred-to-several-accounts
Doc20,0,0,0,0,0,0.09,0,0,0.13,0.77,9,https://stackoverflow.com/questions/71696561/how-to-use-githubs-kadena-io-cardano-crypto-js-mnemonic-in-react-native-wallet
Doc21,0,0,0,0,0.15,0,0.61,0,0,0.23,6,https://stackoverflow.com/questions/71202933/how-are-blocks-processed-while-syncing-ethereum-blockchain-in-full-sync-mode
Doc22,0,0.44,0,0,0,0,0,0.12,0.43,0,1,https://stackoverflow.com/questions/70850168/why-do-my-ethers-js-transactions-keep-pending-dropping-on-polygon-even-with-a-lo
Doc23,0,0.23,0.08,0,0,0,0.18,0.09,0.4,0,8,https://stackoverflow.com/questions/69910421/how-to-add-infinite-allowance-with-web3
Doc24,0.84,0,0,0,0,0,0,0.15,0,0,0,https://stackoverflow.com/questions/69733927/how-can-i-join-orderers-from-two-organisations-with-minifabric
Doc25,0,0.46,0.35,0,0,0.19,0,0,0,0,1,https://stackoverflow.com/questions/69732284/what-is-meant-by-a-valueerror-invalid-npm-block-in-import-when-trying-to-run-br
Doc26,0,0,0,0,0.17,0,0,0.18,0.65,0,8,https://stackoverflow.com/questions/69427208/best-way-of-setting-up-web3-instance-in-react
Doc27,0,0.15,0.23,0,0,0,0.07,0,0.55,0,8,https://stackoverflow.com/questions/68766559/make-a-withdraw-from-aave-causes-error-transaction-reverted
Doc28,0,0,0,0.04,0.03,0.81,0.09,0,0.03,0,5,https://stackoverflow.com/questions/66691023/issue-deploying-raiden-contracts-and-starting-raiden-client-on-private-geth-netw
Doc29,0.22,0,0.15,0,0,0,0.33,0.3,0,0,6,https://stackoverflow.com/questions/61801969/ethereum-erc20-token-transaction-between-privatehyperledger-fabric-and-public
Doc30,0.12,0,0,0,0.21,0,0.25,0,0,0.42,9,https://stackoverflow.com/questions/59552135/how-to-send-bitcoin-offline-or-on-localhost-using-bitcoinj-liberary
Doc31,0,0,0,0.16,0.19,0,0.26,0,0,0.38,9,https://stackoverflow.com/questions/58285449/how-to-expand-query-apis-in-bigchaindb-2-0
Doc32,0,0,0,0,0,0,0,0.97,0,0,7,https://stackoverflow.com/questions/57552647/how-to-configure-private-blockchain-using-bigchaindb-is-it-possible
Doc33,0,0,0,0.21,0.53,0.25,0,0,0,0,4,https://stackoverflow.com/questions/55553529/error-while-launching-tendermint-node-with-tendermint-init
Doc34,0.28,0,0,0,0.71,0,0,0,0,0,4,https://stackoverflow.com/questions/53801467/hyperledger-fabric-error-canceled-desc-context-canceled
Doc35,0,0.24,0.24,0,0,0,0.05,0,0.47,0,8,https://stackoverflow.com/questions/53166904/send-signed-transaction-from-nodejs-to-private-smartcontract-using-webjs-in-quor
Doc36,0.12,0.39,0,0,0.08,0.28,0,0.06,0.06,0,1,https://stackoverflow.com/questions/51780608/hyperledger-iroha-android-commandservice-stateless-invalid-tx-wrongly-formed
Doc37,0,0,0,0,1,0,0,0,0,0,4,https://stackoverflow.com/questions/51577249/woleet-blockchain-api-error-with-php-curl
Doc38,0.7,0,0,0,0,0,0,0,0,0.3,0,https://stackoverflow.com/questions/49734514/how-to-fix-the-badrequest-error
Doc39,0.51,0,0,0,0,0.09,0.09,0.31,0,0,0,https://stackoverflow.com/questions/49124056/hyperledger-fabric-migrate-a-channel-from-one-network-to-another-network
Doc40,0.79,0,0,0,0,0,0,0,0,0.2,0,https://stackoverflow.com/questions/48534384/when-im-trying-to-add-new-organization-in-existing-channel-of-3-organization
Doc41,0.16,0.66,0,0,0.18,0,0,0,0,0,1,https://stackoverflow.com/questions/39911835/we-are-facing-below-exception-while-running-mapreduce-program-to-parse-blockchai
Doc42,0,0,0,0,0,0.08,0.1,0.41,0.21,0.2,7,https://stackoverflow.com/questions/32879696/smart-contracts-anti-virus-service
Doc43,0,0.3,0.08,0,0,0.12,0.06,0.16,0.29,0,1,https://stackoverflow.com/questions/75388885/transaction-has-been-reverted-by-the-evm-pancakeswap-manual-trade-bot-in-js
Doc44,0,0,0,0,0,0.51,0,0.1,0.38,0,5,https://stackoverflow.com/questions/74273104/is-it-possible-to-deploy-a-smart-contract-with-the-complied-abi-json-file-using
